 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
3233,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,54.767,0.762,0,11,195.357,96.641,4,4
3234,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,74.032,5.900,0,47,384.344,365.276,4,4
3235,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,46.878,0.421,0,5,409.441,299.756,4,4
3236,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,40.181,4.776,0,23,246.046,321.604,4,4
3237,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,63.024,4.298,0,29,567.714,459.184,4,4
3238,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,32.292,20.477,0,65,524.067,53.486,4,4
3239,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,78.803,33.361,0,113,510.146,482.455,4,4
3240,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,52.290,0.265,0,11,173.356,467.491,4,4
3241,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,46.144,10.368,0,47,63.086,151.999,4,4
3242,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,67.978,1.841,0,17,20.167,374.459,4,4
3243,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,38.805,0.251,0,11,112.383,218.653,4,4
3244,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,62.382,10.572,0,47,118.663,252.355,4,4
3245,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,51.465,0.125,0,5,127.928,173.700,4,4
3246,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,68.895,34.270,0,101,60.273,79.732,4,4
3247,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,37.704,0.270,0,11,108.899,467.407,4,4
3248,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,33.851,1.220,0,23,592.355,460.093,4,4
3249,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,33.209,0.099,0,11,224.309,224.698,4,4
3250,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,37.246,0.498,0,11,593.005,169.094,4,4
3251,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,52.566,0.218,0,5,32.463,419.135,4,4
3252,FRET_Rec.tif:Other:c:4/6 - Sequence 001/T12_FRET023,42.199,0.439,0,11,527.747,550.091,4,4
3253,FRET_Rec.tif:Positive:c:4/6 - Sequence 001/T12_FRET023,52.290,42.916,5,107,444.924,272.315,4,4
